,z,a,m,name,mass,decay,abundance
10,0,1,0,N1,1.0086649159321341,0.0011366795351917766,0.0
10000,1,0,0,H,1.0079709420149996,0.0,
10010,1,1,0,H1,1.0078250318868387,0.0,0.999855
10020,1,2,0,H2,2.0141017778239942,0.0,0.000145
10030,1,3,0,H3,3.016049281300139,1.7828715741004621e-09,0.0
10040,1,4,0,H4,4.026430655762303,4.986670363740614e+21,0.0
10050,1,5,0,H5,5.035308865476122,8.059850936743551e+21,0.0
10060,1,6,0,H6,6.044960026942536,2.357643471292331e+21,0.0
10070,1,7,0,H7,7.052753957114523,1.0631091726379529e+21,0.0
20000,2,0,0,He,4.002601280979371,0.0,
20030,2,3,0,He3,3.0160293219467453,0.0,2e-06
20040,2,4,0,He4,4.0026032541272345,0.0,0.9999979999999999
20050,2,5,0,He5,5.012056973796361,1.1514072766776502e+21,0.0
20060,2,6,0,He6,6.018885895176117,0.8590035946065847,0.0
20070,2,7,0,He7,7.027990515340801,2.7615425520316554e+20,0.0
20080,2,8,0,He8,8.033934385492955,5.800394816401216,0.0
20090,2,9,0,He9,9.043950895487761,2.7725887222397813e+20,0.0
20100,2,10,0,He10,10.052818369760573,2.665950694461328e+21,0.0
30000,3,0,0,Li,6.9674607280900105,0.0,
30030,3,3,0,Li3,3.0307785093706423,inf,0.0
30040,3,4,0,Li4,4.02718213663288,7.617001984175224e+21,0.0
30050,3,5,0,Li5,5.012538995097632,1.8733707582701227e+21,0.0
30060,3,6,0,Li6,6.015122887352442,0.0,0.048499999999999995
30070,3,7,0,Li7,7.016003434633124,0.0,0.9515
30080,3,8,0,Li8,8.022486240027053,0.8264542512936034,0.0
30090,3,9,0,Li9,9.02679019641711,3.8897148179570444,0.0
30100,3,10,0,Li10,10.035483853164557,3.4657359027997265e+20,0.0
30101,3,10,1,Li10m,10.035695341352419,1.8733707582701224e+20,0.0
30102,3,10,2,Li10n,10.03599593370065,5.134423559703298e+20,0.0
30110,3,11,0,Li11,11.043723626201617,79.21682063542231,0.0
30120,3,12,0,Li12,12.052614396381415,inf,0.0
30130,3,13,0,Li13,13.061170542864987,2.1004460016968044e+20,0.0
40000,4,0,0,Be,9.012183061551003,0.0,
40050,4,5,0,Be5,5.039871427904627,inf,0.0
40060,4,6,0,Be6,6.019726372852652,1.3862943611198906e+20,0.0
40070,4,7,0,Be7,7.016928716925904,1.507428938751673e-07,0.0
40080,4,8,0,Be8,8.005305100676722,8463335537972469.0,0.0
40090,4,9,0,Be9,9.012183061551003,0.0,1.0
40100,4,10,0,Be10,10.013534696515705,1.5836321408015642e-14,0.0
40110,4,11,0,Be11,11.021661081824837,0.05037406835464719,0.0
40120,4,12,0,Be12,12.02692212425166,32.29949583224349,0.0
40121,4,12,1,Be12m,12.029338672022616,2974880.6032615677,0.0
40130,4,13,0,Be13,13.036134420889656,6.931471805599453e+20,0.0
40133,4,13,3,Be13p,13.037745810584994,inf,0.0
40140,4,14,0,Be14,14.042888086827944,153.01262264016452,0.0
40143,4,14,3,Be14p,14.044519873861198,inf,0.0
40150,4,15,0,Be15,15.053494702544091,8.774014943796776e+20,0.0
40160,4,16,0,Be16,16.061675108592375,1.0663802777845313e+21,0.0
50000,5,0,0,B,10.813518794968477,0.0,
50060,5,6,0,B6,6.050800106851022,inf,0.0
50070,5,7,0,B7,7.029712480078524,1.2160476851928865e+21,0.0
50080,5,8,0,B8,8.024607348461462,0.8979753602279379,0.0
50090,5,9,0,B9,9.013329660327889,8.664339756999318e+17,0.0
50100,5,10,0,B10,10.012936862350383,0.0,0.19649999999999998
50110,5,11,0,B11,11.009305166791071,0.0,0.8035
50120,5,12,0,B12,12.014352640501565,34.31421685940323,0.0
50130,5,13,0,B13,13.017779930043448,40.39319234032315,0.0
50140,5,14,0,B14,14.025404347601913,56.07986897734185,0.0
50150,5,15,0,B15,15.03108661652758,68.0891140039239,0.0
50160,5,16,0,B16,16.039841368669805,1.5068416968694465e+20,0.0
50170,5,17,0,B17,17.046935348088052,136.446295385816,0.0
50180,5,18,0,B18,18.055598848981706,inf,0.0
50190,5,19,0,B19,19.06416573090629,237.3791714246388,0.0
50200,5,20,0,B20,20.07450396059723,7.596966029810888e+20,0.0
50210,5,21,0,B21,21.084144386622636,9.12035763894665e+20,0.0
60000,6,0,0,C,12.010635561254169,0.0,
60080,6,8,0,C8,8.037642750351315,1.9804205158855583e+20,0.0
60090,6,9,0,C9,9.03103723349894,5.479424352252532,0.0
60100,6,10,0,C10,10.016853214569293,0.03591231487117031,0.0
60110,6,11,0,C11,11.011432600547321,0.0005679616232550526,0.0
60120,6,12,0,C12,12.0,0.0,0.9894
60130,6,13,0,C13,13.003354835299037,0.0,0.0106
60140,6,14,0,C14,14.003241988315272,3.853504875950472e-12,0.0
60150,6,15,0,C15,15.010599208261851,0.28303274012247664,0.0
60160,6,16,0,C16,16.014701112916693,0.9241962407465937,0.0
60170,6,17,0,C17,17.022578779528544,3.5914361687043797,0.0
60180,6,18,0,C18,18.02675271899255,7.534208484347231,0.0
60190,6,19,0,C19,19.034793564307726,15.003185726405741,0.0
60200,6,20,0,C20,20.040257903780923,43.32169878499658,0.0
60210,6,21,0,C21,21.048996552761636,inf,0.0
60220,6,22,0,C22,22.05755269924521,111.79793234837825,0.0
60230,6,23,0,C23,23.068889324949918,inf,0.0
70000,7,0,0,N,14.006857751636797,0.0,
70100,7,10,0,N10,10.041653511111996,4.847183080838779e+21,0.0
70110,7,11,0,N11,11.026157975560693,1.1848669753161459e+21,0.0
70111,7,11,1,N11m,11.026956692371707,1.0045611312462975e+21,0.0
70120,7,12,0,N12,12.018613214974508,63.01338005090412,0.0
70130,7,13,0,N13,13.005738608520076,0.0011593028609465552,0.0
70140,7,14,0,N14,14.003074004213842,0.0,0.9962050000000001
70150,7,15,0,N15,15.000108898273854,0.0,0.003795
70160,7,16,0,N16,16.006101917314677,0.09721559334641589,0.0
70161,7,16,1,N16m,16.006231172024417,132028.03439237055,0.0
70170,7,17,0,N17,17.00844879207349,0.1661028470069363,0.0
70180,7,18,0,N18,18.014077383794113,1.1194237412143817,0.0
70190,7,19,0,N19,19.017022115262677,2.0629380373807895,0.0
70200,7,20,0,N20,20.023371055074954,5.096670445293715,0.0
70210,7,21,0,N21,21.027085517663807,8.154672712469944,0.0
70220,7,22,0,N22,22.03409576064219,30.136833937388925,0.0
70230,7,23,0,N23,23.03942053938228,49.86670363740613,0.0
70240,7,24,0,N24,24.05039216009271,inf,0.0
70250,7,25,0,N25,25.060096998764163,inf,0.0
80000,8,0,0,O,15.99939842434791,0.0,
80110,8,11,0,O11,11.051250995373367,3.50074333616134e+21,0.0
80120,8,12,0,O12,12.0343673672997,7.788170568089274e+19,0.0
80130,8,13,0,O13,13.024814971890562,80.7863846806463,0.0
80140,8,14,0,O14,14.008596706053245,0.009815029248523037,0.0
80150,8,15,0,O15,15.003065612534314,0.0056691736096702704,0.0
80160,8,16,0,O16,15.994914619339951,0.0,0.9975700000000001
80163,8,16,3,O16p,16.00883698562035,inf,0.0
80170,8,17,0,O17,16.999131755964132,0.0,0.0003835
80180,8,18,0,O18,17.999159612179106,0.0,0.002045
80190,8,19,0,O19,19.003578015133638,0.026186142068755018,0.0
80200,8,20,0,O20,20.00407538811555,0.05130623098149114,0.0
80210,8,21,0,O21,21.008654912540848,0.2026746141988144,0.0
80220,8,22,0,O22,22.009962489255653,0.3080654135821979,0.0
80230,8,23,0,O23,23.015695214754057,7.145847222267477,0.0
80240,8,24,0,O24,24.019860565865255,8.955389929715054,0.0
80250,8,25,0,O25,25.029339960275536,1.3381219701929448e+20,0.0
80260,8,26,0,O26,26.03720903853458,165035042990.46317,0.0
80270,8,27,0,O27,27.047955214983837,inf,0.0
80280,8,28,0,O28,28.055910176770947,inf,0.0
90000,9,0,0,F,18.998403162087595,0.0,
90130,9,13,0,F13,13.04512105855766,inf,0.0
90140,9,14,0,F14,14.034310469462355,1.3862943611198906e+21,0.0
90150,9,15,0,F15,15.017785405118362,6.301338005090411e+20,0.0
90160,9,16,0,F16,16.011460083276305,3.3007008598092636e+19,0.0
90170,9,17,0,F17,17.002095236021578,0.010768171206461787,0.0
90180,9,18,0,F18,18.00093731135443,0.00010527687871883301,0.0
90181,9,18,1,F18m,18.002141183709096,4278686.299752749,0.0
90190,9,19,0,F19,18.998403162087595,0.0,1.0
90200,9,20,0,F20,19.999981252699367,0.06297788342570054,0.0
90210,9,21,0,F21,20.9999488993008,0.16670206362673046,0.0
90220,9,22,0,F22,22.0029984086736,0.16386458169265844,0.0
90230,9,23,0,F23,23.003531960091713,0.31082833208966154,0.0
90240,9,24,0,F24,24.008094522520217,1.8050707827081909,0.0
90250,9,25,0,F25,25.012163254662344,8.664339756999317,0.0
90260,9,26,0,F26,26.020043068362394,84.53014397072505,0.0
90261,9,26,1,F26m,26.020730136586923,315.0669002545206,0.0
90270,9,27,0,F27,27.026978163253723,138.62943611198907,0.0
90280,9,28,0,F28,28.035856372967544,1.5068416968694462e+19,0.0
90290,9,29,0,F29,29.04310279564811,277.25887222397813,0.0
90300,9,30,0,F30,30.052560719176373,inf,0.0
90310,9,31,0,F31,31.061020246690873,346.5735902799726,0.0
100000,10,0,0,Ne,20.180046379582972,0.0,
100150,10,15,0,Ne15,15.043177943735166,9.001911435843446e+20,0.0
100160,10,16,0,Ne16,16.02575110234648,1.2160476851928865e+20,0.0
100170,10,17,0,Ne17,17.017714014435658,6.347501653479352,0.0
100180,10,18,0,Ne18,18.005708678110544,0.4165047353442767,0.0
100190,10,19,0,Ne19,19.00188090294185,0.04016637869837255,0.0
100200,10,20,0,Ne20,19.992440175228282,0.0,0.9048
100210,10,21,0,Ne21,20.993846681393777,0.0,0.0027
100220,10,22,0,Ne22,21.991385113477406,0.0,0.0925
100230,10,23,0,Ne23,22.994466900027145,0.018658066771465552,0.0
100240,10,24,0,Ne24,23.993610694929533,0.0034178855057196518,0.0
100250,10,25,0,Ne25,24.99781426421072,1.15140727667765,0.0
100260,10,26,0,Ne26,26.000516374712497,3.518513606903275,0.0
100270,10,27,0,Ne27,27.007568485910813,22.43194759093674,0.0
100280,10,28,0,Ne28,28.012131048339317,36.86953088084815,0.0
100290,10,29,0,Ne29,29.019753211455175,47.15286942584662,0.0
100300,10,30,0,Ne30,30.0249921066672,96.00376462049104,0.0
100310,10,31,0,Ne31,31.033473105063713,203.86681781174863,0.0
100320,10,32,0,Ne32,32.03972113173051,198.04205158855578,0.0
100330,10,33,0,Ne33,33.04952258937104,inf,0.0
100340,10,34,0,Ne34,34.056726070287574,346.5735902799726,0.0
110000,11,0,0,Na,22.98976928199335,0.0,
110170,11,17,0,Na17,17.03727345118063,inf,0.0
110180,11,18,0,Na18,18.02688154428465,5.3319013889226565e+20,0.0
110190,11,19,0,Na19,19.01387985167956,6.931471805599452e+17,0.0
110200,11,20,0,Na20,20.0073543138627,1.5475489630719923,0.0
110210,11,21,0,Na21,20.99765445643587,0.03086827791404789,0.0
110220,11,22,0,Na22,21.99443754933143,8.441899301632535e-09,0.0
110221,11,22,1,Na22m,21.995063479219414,2852457.5331684994,0.0
110230,11,23,0,Na23,22.98976928199335,0.0,1.0
110240,11,24,0,Na24,23.990963012040122,1.2873822110783211e-05,0.0
110241,11,24,1,Na24m,23.99146994707934,34.34822500297053,0.0
110250,11,25,0,Na25,24.989953989013305,0.011728378689677585,0.0
110260,11,26,0,Na26,25.992634413924243,0.6470270896123752,0.0
110261,11,26,1,Na26m,25.992722444540508,159344.1794390679,0.0
110270,11,27,0,Na27,26.99407618365165,2.3028145533553,0.0
110280,11,28,0,Na28,27.998939338428386,20.9410024338352,0.0
110290,11,29,0,Na29,29.00287709819021,16.045073624072806,0.0
110300,11,30,0,Na30,30.00909828625449,15.101245763833232,0.0
110310,11,31,0,Na31,31.0131466210587,41.25876074761578,0.0
110320,11,32,0,Na32,32.02001086203937,53.73233957829033,0.0
110330,11,33,0,Na33,33.02552887871761,84.53014397072505,0.0
110340,11,34,0,Na34,34.03400987711412,126.02676010180824,0.0
110350,11,35,0,Na35,35.040612173334196,462.09812037329687,0.0
110360,11,36,0,Na36,36.04927567422785,inf,0.0
110370,11,37,0,Na37,37.057037398076815,693.1471805599452,0.0
110380,11,38,0,Na38,38.066463115282055,inf,0.0
110390,11,39,0,Na39,39.07512661617571,693.1471805599452,0.0
120000,12,0,0,Mg,24.305458129668644,0.0,
120190,12,19,0,Mg19,19.034181644170257,138629436111.98907,0.0
120200,12,20,0,Mg20,20.01876308173098,7.66755730707904,0.0
120210,12,21,0,Mg21,21.011705817520983,5.776226504666211,0.0
